ID,Recap,Trap,SVL,VTL,Regen,Weight,Sex,Year,projected_SVL,Toes
194,False,['PR71'],58,67,0.0,3.69,J,2018,100,[]
195,False,['R71'],56,70,0.0,3.45,J,2018,100,[]
196,False,['PR63'],55,65,3.0,3.62,J,2018,100,[]
197,False,['R12'],71,78,5.0,7.22,M,2018,100,"['RF2', 'RR4']"
199,False,['M11'],69,37,0.0,5.91,M,2018,100,[]
200,True,['R94'],72,75,13.0,7.81,F,2020,100,"['LF1', 'LF2', 'LF3', 'LF4', 'LF5', 'RF1', 'RF2', 'RF3', 'RF4']"
201,False,['R67'],52,65,0.0,2.73,nan,2019,100,[]
202,False,['PR55'],73,78,1.0,11.13,F,2019,100,[]
203,True,"['B4', 'B3']",63,71,1.0,5.26,F,2020,100,[]
204,True,"['R26', 'PR10']",71,10,0.1,6.05,nan,2020,100,[]
205,True,"['PR55', 'R16']",66,43,10.0,5.25,M,2019,100,['RF2']
206,True,"['W15', 'W5']",67,80,0.0,5.07,nan,2019,100,[]
207,True,"['W1', 'W2', 'W3']",62,42,5.0,5.04,M,2019,100,"['LF2', 'LF3', 'LF4']"
208,True,"['W14', 'W15']",60,62,15.0,4.01,M,2019,100,"['RR4', 'RR5']"
209,True,"['W9', 'PR17']",65,68,0.0,5.59,F,2019,100,[]
210,True,['W20'],71,76,1.0,7.45,M,2020,100,[]
211,True,"['W17', 'W18', 'W10', 'W12']",64,49,17.0,5.01,M,2019,100,[]
212,False,['W25'],55,61,3.0,3.4,nan,2019,100,[]
213,True,"['W3', 'W24', 'W2', 'W25', 'R2']",75,48,33.0,10.34,F,2020,100,['RR2']
214,False,['R82'],55,71,0.0,3.4,M,2019,100,[]
215,False,['R78'],32,40,0.0,0.72,N,2019,52,[]
216,False,['B2'],66,75,6.0,6.78,M,2019,100,[]
217,True,"['W9', 'W15', 'W13', 'W16', 'W14', 'W12', 'PR17']",66,81,0.0,5.64,M,2019,100,[]
218,True,['R105'],58,78,0.0,4.55,nan,2019,100,[]
219,True,"['W3', 'R80']",69,75,13.0,7.95,M,2020,100,[]
220,True,"['W25', 'W26']",69,78,1.0,6.27,M,2020,100,[]
221,True,"['W19', 'R7', 'W18', 'W10', 'W12', 'W15', 'W13']",69,38,6.0,6.1,M,2020,100,[]
222,False,['W4'],56,73,0.0,3.76,nan,2019,100,[]
223,False,['W23'],56,74,0.0,3.33,F,2019,100,[]
224,True,"['R81.', 'near', 'R31']",65,81,0.1,6.34,M,2020,100,[]
225,True,"['PR77', 'PR79']",64,62,20.0,5.58,M,2019,100,['RF2']
226,False,['R96'],61,60,19.0,5.59,M,2019,100,[]
227,False,['R77'],62,74,0.0,5.94,M,2019,100,[]
228,False,['PR57'],64,64,4.0,5.34,M,2019,100,['RF2']
229,True,"['W13', 'W14', 'R7']",63,66,0.5,4.09,nan,2020,100,[]
230,False,['W3'],64,67,0.0,6.56,M,2019,100,[]
232,False,['R90'],56,63,1.0,4.12,F,2019,100,"['LF4', 'LF5']"
233,False,['R96'],57,77,0.0,4.29,M,2019,100,"['LR2', 'LR3', 'LR4']"
234,False,['R82'],56,52,18.0,3.69,F,2019,100,"['LR1', 'LR2', 'LR3', 'LR5']"
235,True,"['W16', 'W9', 'W17']",64,57,19.0,4.64,nan,2019,100,[]
236,False,['R7'],62,64,4.0,5.32,M,2019,100,[]
237,True,"['PR2', 'R16']",72,47,35.0,7.22,M,2020,100,['LF1']
238,True,['B3'],69,67,0.1,6.98,M,2020,100,[]
239,True,"['PR5', 'R74']",70,74,4.0,6.8,nan,2020,100,['LR2']
240,False,['R26'],55,69,0.5,3.96,nan,2019,100,[]
241,True,"['W17', 'W19']",60,12,5.0,3.36,nan,2020,100,[]
